,x,y,z,cluster_labels_baseline
274,1.2829643,9.145459,7.935721,LRMP
275,5.7602453,7.0028157,4.1829953,HRBF
276,2.693921,7.5774937,8.596961,LRMP
277,5.5901513,12.153779,3.7229238,VLR
278,4.9182944,3.0346746,5.794261,HRBF
279,5.312807,12.107463,4.2509303,VLR
280,5.9240007,7.5762296,5.7585306,HRBF
281,4.9561677,12.619317,4.3753242,VLR
282,0.82156146,8.885796,1.8480667,LRMP
283,2.664232,7.8743634,8.723606,LRMP
284,4.9982285,8.656625,8.123725,VLR
285,4.821186,11.941902,2.0257225,VLR
286,4.6169777,11.466985,4.107728,VLR
287,7.2610297,12.978069,2.8386493,VLR
288,4.1135497,4.181501,1.9623055,LRHB
289,2.0764468,7.813655,0.2510859,LRHB
290,3.2983284,4.838069,3.482296,LRHB
291,5.830706,5.4362597,1.1107221,LRHB
292,6.959512,11.352447,2.5741935,VLR
293,4.8893213,3.7468812,2.3358443,HRBF
294,7.8311963,9.542775,1.5431908,VLR
295,7.801996,9.971791,1.7788731,VLR
296,4.3555026,12.6449175,2.8388195,VLR
297,7.869076,11.276982,3.8271897,VLR
298,8.5313015,11.425603,3.800984,VLR
299,1.7498109,8.067859,2.8497434,LRMP
300,3.0636456,8.675149,0.1236508,LRHB
301,5.94882,3.1691957,2.195969,HRIR
302,5.6848664,0.7637347,2.78825,HRIR
303,8.306862,11.922092,4.2048163,VLR
304,6.744766,7.7033396,2.6910348,LRHB
305,4.533054,5.497856,6.551665,HRBF
306,6.3601995,6.7113647,5.223468,HRBF
307,0.38127837,8.616261,4.7457495,LRMP
308,5.9836206,8.324787,4.1847024,HRBF
309,4.3588433,8.497589,0.011246402,LRHB
310,6.75887,4.545812,2.5941262,HRBF
311,5.8221884,8.186905,3.0617206,HRBF
312,4.373952,3.9757793,5.933079,HRBF
313,7.9263477,11.966794,4.639155,VLR
314,5.226441,9.871478,7.3328075,LRMP
315,3.4381692,4.1047044,1.7564145,LRHB
316,1.3675808,8.756492,2.675619,LRMP
317,5.5796385,7.813393,2.5792994,HRBF
318,3.6368742,10.548532,5.184148,LRMP
319,6.1986017,7.5297294,5.69914,HRBF
320,5.0600295,9.485726,6.4825635,LRMP
321,4.3586206,10.955226,6.802418,VLR
322,1.5532118,6.601714,8.129205,LRMP
323,2.1592398,3.697181,1.48317,LRHB
324,1.4070538,2.4953136,4.319616,HRVP
