,x,y,z,cluster_labels_baseline
409,7.6370516,1.4139333,5.3111477,LRMP
410,5.2147317,4.890753,9.492223,HRBF
411,0.71915156,1.8028563,3.982845,VLR
412,6.3033752,3.8427057,7.5368066,LRMP
413,5.6592274,1.3534387,4.7764635,LRMP
414,3.2042048,2.6410372,2.1162407,LRHB
415,-0.7277959,-2.0361362,6.0652547,VLR
416,-0.7283637,-1.7901872,5.1423607,VLR
417,0.29841387,0.29197094,4.045268,VLR
418,0.31900024,-1.3274217,7.0411215,VLR
419,0.5493562,2.694863,4.708875,VLR
420,0.8411108,1.4320514,6.144908,VLR
421,-0.3677754,-2.0305786,6.4189076,VLR
422,2.8409007,-0.36986616,7.6123576,VLR
423,1.3116422,-0.88206345,4.0432,VLR
424,7.92348,7.150185,7.7981987,HRVP
425,7.708351,1.2341447,7.6911235,LRMP
426,5.3586674,5.2058887,9.354504,HRBF
427,2.3215172,3.5301988,6.3326273,HRBF
428,-0.99881554,-0.051117674,5.0726204,VLR
429,1.0488503,0.9040494,8.176152,VLR
430,10.210085,5.046498,6.569929,HRVP
431,8.201657,3.917398,7.3833547,HRVP
432,1.6106662,0.11568374,3.8068624,VLR
434,7.855225,5.6407676,6.023554,HRVP
435,4.336066,4.1785426,5.3773656,HRBF
436,1.8708906,1.7315134,6.590472,VLR
437,8.303532,1.0200396,7.5903006,LRMP
438,-0.81794506,-0.2666193,4.449844,VLR
439,-0.38983065,1.020763,4.681587,VLR
440,6.592012,9.818292,5.0033183,HRIR
441,1.0476061,-0.057247017,6.0289574,VLR
442,-1.2035319,-0.36946252,6.3119245,VLR
443,6.8735332,2.6623383,5.0830956,LRMP
444,4.716803,7.214622,6.2291617,HRBF
445,4.4024377,-1.3828554,7.305248,LRMP
446,-0.7682812,-0.35498008,6.614285,VLR
448,0.39441633,0.12324921,5.62386,VLR
449,0.066612534,2.0276277,3.6510162,VLR
450,1.4742438,4.4251175,5.8115644,HRBF
451,1.8327525,-1.5600207,6.8172035,VLR
452,2.872975,-1.5745091,5.918309,VLR
453,1.9378073,-0.7690979,3.1751537,VLR
454,4.8475943,1.9786676,9.351384,LRMP
455,3.6626475,-0.6766985,4.5726523,LRMP
456,0.5437347,-1.7357668,4.590345,VLR
457,7.1994157,1.697333,7.3479753,LRMP
458,2.334197,-2.2222753,6.011978,VLR
459,6.0725875,0.97143495,6.7746177,LRMP
460,0.41236284,-1.7533783,3.919211,VLR
461,5.396006,7.911411,5.723784,HRBF
462,7.3628573,6.374449,6.961676,HRVP
463,7.190501,-0.42896158,6.05342,LRMP
464,2.863528,2.6743517,4.3888187,VLR
465,5.7941246,0.25933716,6.3858156,LRMP
